"Program_ID","Zip"
"Yukon_Whitehorse_YK","Y1a7a2"
"South_Rapid City_SD","57701-2422"
"Lehigh_Mertztown_PA","19539"
"Hunters_Covington_GA","30014"
"Hunt_Hartford_CT","06010"
"Alabama_Montgomery_AL","36130"
"North__NC",""
"Hocking_Logan_OH","43138"
"Wisconsin's_Madison_WI","53707"
"Fhfh-Carolina_Concord_NC","28025"
"Michigan_Lansing_MI","48912"
"Farmers_Wooster_OH","44691"
"Venison_Rutland_VT","05701"
"Hi_Highland County FHFH_OH","45133"
"Fhfh_Gainesville _GA","30506"
"Farmers_Donalds_SC","29638"
"Forest_Naperville_IL","60565"
"Farmers_Sunbury_OH","43074"
"Kentucky_Louisville _KY","40253"
"Meat__UT",""
"Hunters_Missoula_MT","59808"
"Hunters_Lincoln_NE","68504"
"Farmers_Coshocton_OH","43812"
"Farmers_Constantine_MI","49042"
"Csea_Providence_RI","02907"
"Share_Columbia_MO","65202"
"Share_JEFFERSON CITYJ_MO","65101"
"Help_Anchorage_AK","99501"
"Farmers_Bloomfield _IN","47424"
"Hunters_Lebanon_NJ","08833"
"North_Milton _GA ","30004"
"Hunters_N/A_TX","N/A"
"Food_Cheyenne_WY","82009"
"Venison_Bath_NY","14810"
"Arkansas__AR",""
"Hush__IA",""
"Hunters_Oklahoma City _OK ","73105"
"Virginia_Big Island_VA","24526"
"Farmers_Fort Recovery_OH","45846"
"Soul_Elizabeth City_NC","27909"
"Hunters_San Antonio_TX","78227"
"Deer_Lincoln_NE","68506"
"God's_Hemlock_MI","48626"
